code: 22575 time: 38720-42270 location:[[22.549789, 114.141136], [22.63245, 114.093102]]
code: 22575 time: 42270-42280 location:[[22.63245, 114.093102], [22.631983, 114.091583]]
code: 22575 time: 42280-42290 location:[[22.631983, 114.091583], [22.630934, 114.089798]]
code: 22575 time: 42290-42300 location:[[22.630934, 114.089798], [22.630251, 114.087914]]
code: 22575 time: 42300-42310 location:[[22.630251, 114.087914], [22.629868, 114.085884]]
code: 22575 time: 42310-42320 location:[[22.629868, 114.085884], [22.629049, 114.08242]]
code: 22575 time: 42320-42330 location:[[22.629049, 114.08242], [22.625963, 114.078224]]
code: 22575 time: 42330-42340 location:[[22.625963, 114.078224], [22.6264, 114.079849]]
code: 22575 time: 42340-42340 location:[[22.6264, 114.079849], [22.623669, 114.07444]]
code: 22575 time: 42340-42350 location:[[22.623669, 114.07444], [22.623262, 114.073769]]
code: 22575 time: 42350-42350 location:[[22.623262, 114.073769], [22.6245, 114.079231]]
code: 22575 time: 42350-42370 location:[[22.6245, 114.079231], [22.623201, 114.073669]]
code: 22575 time: 42370-42370 location:[[22.623201, 114.073669], [22.6213, 114.078217]]
code: 22575 time: 42370-42380 location:[[22.6213, 114.078217], [22.623192, 114.073654]]
code: 22575 time: 42380-42380 location:[[22.623192, 114.073654], [22.619516, 114.077103]]
code: 22575 time: 42380-42390 location:[[22.619516, 114.077103], [22.623188, 114.073647]]
code: 22575 time: 42390-42390 location:[[22.623188, 114.073647], [22.618233, 114.075447]]
code: 22575 time: 42390-42400 location:[[22.618233, 114.075447], [22.623184, 114.073639]]
code: 22575 time: 42400-42400 location:[[22.623184, 114.073639], [22.617399, 114.074066]]
code: 22575 time: 42400-42410 location:[[22.617399, 114.074066], [22.623182, 114.073639]]
code: 22575 time: 42410-42410 location:[[22.623182, 114.073639], [22.6161, 114.072731]]
code: 22575 time: 42410-42420 location:[[22.6161, 114.072731], [22.623178, 114.073631]]
code: 22575 time: 42420-42420 location:[[22.623178, 114.073631], [22.613014, 114.068535]]
code: 22575 time: 42420-42430 location:[[22.613014, 114.068535], [22.623175, 114.073624]]
code: 22575 time: 42430-42430 location:[[22.623175, 114.073624], [22.61072, 114.064751]]
code: 22575 time: 42430-42440 location:[[22.61072, 114.064751], [22.623173, 114.073624]]
code: 22575 time: 42440-42440 location:[[22.623173, 114.073624], [22.610313, 114.064079]]
code: 22575 time: 42440-42450 location:[[22.610313, 114.064079], [22.623169, 114.073616]]
code: 22575 time: 42450-42450 location:[[22.623169, 114.073616], [22.610252, 114.06398]]
code: 22575 time: 42450-42460 location:[[22.610252, 114.06398], [22.610243, 114.063965]]
code: 22575 time: 42460-42460 location:[[22.610243, 114.063965], [22.610239, 114.063957]]
code: 22575 time: 42460-42470 location:[[22.610239, 114.063957], [22.610233, 114.06395]]
code: 22575 time: 42470-42470 location:[[22.610233, 114.06395], [22.610235, 114.06395]]
code: 22575 time: 42470-42490 location:[[22.610235, 114.06395], [22.610229, 114.063942]]
code: 22575 time: 42490-42500 location:[[22.610229, 114.063942], [22.610226, 114.063934]]
code: 22575 time: 42500-42510 location:[[22.610226, 114.063934], [22.610224, 114.063934]]
code: 22575 time: 42510-42520 location:[[22.610224, 114.063934], [22.61022, 114.063927]]
code: 22575 time: 42520-45910 location:[[22.61022, 114.063927], [22.551849, 114.014519]]
code: 22575 time: 45910-45920 location:[[22.551849, 114.014519], [22.551783, 114.014519]]
code: 22575 time: 45920-45930 location:[[22.551783, 114.014519], [22.551783, 114.014519]]
code: 22575 time: 45930-45940 location:[[22.551783, 114.014519], [22.551783, 114.014519]]
code: 22575 time: 45940-45950 location:[[22.551783, 114.014519], [22.551783, 114.014519]]
code: 22575 time: 45950-45960 location:[[22.551783, 114.014519], [22.551783, 114.014519]]
code: 22575 time: 45960-45970 location:[[22.551783, 114.014519], [22.551783, 114.014519]]
code: 22575 time: 45970-45980 location:[[22.551783, 114.014519], [22.554611, 114.020081]]
code: 22575 time: 45980-45990 location:[[22.554611, 114.020081], [22.552137, 114.015999]]
code: 22575 time: 45990-46000 location:[[22.552137, 114.015999], [22.551682, 114.015244]]
code: 22575 time: 46000-46010 location:[[22.551682, 114.015244], [22.551617, 114.015137]]
code: 22575 time: 46010-46020 location:[[22.551617, 114.015137], [22.551607, 114.015121]]
code: 22575 time: 46020-46030 location:[[22.551607, 114.015121], [22.551607, 114.015121]]
code: 22575 time: 46030-46040 location:[[22.551607, 114.015121], [22.551607, 114.015121]]
code: 22575 time: 46040-46050 location:[[22.551607, 114.015121], [22.551607, 114.015121]]
code: 22575 time: 46050-46060 location:[[22.551607, 114.015121], [22.551607, 114.015121]]
code: 22575 time: 46060-46070 location:[[22.551607, 114.015121], [22.551607, 114.015121]]
